user_id	username	first_name	last_name	email	valid_email	password	dob	join_date	biz_acct
1	hunk	Hunky	Dory	hunk@dory.com	TRUE	coochy	11/11/11	1/1/17	TRUE
2	boob	Bob	O'Brien	bob@obrien.com	TRUE	tits	12/25/01	10/15/08	
3	sugar	Salty	Taffy	salty@taffy.com	TRUE	cuddleme	10/10/10	4/15/15	TRUE
4	honey	Honey	Booboo	honey@boo.com	TRUE	crapper	9/9/99	7/7/07	FALSE
5	itchy	Harry	Balls	harry@balls.com	TRUE	tweeze	8/23/74	9/11/01	
6	goob	Greg	Gong	greg@gong.com	TRUE	dingdong	9/12/02	12/25/11	
7	oily	Butter	Ball	butter@ball.com	TRUE	slimy	5/5/85	2/28/99	
8	herb	Happy	Golucky	happy@lucky.com	TRUE	weedwacker	7/4/92	3/8/03	FALSE
9	fubar	Debbie	Dallas	debbie@dallas.com	TRUE	horny	6/9/69	8/8/88	
10	vibe	Energizer	Bunny	ernie@bunny.com	TRUE	ticktock	6/8/10	5/23/15	
